ID,bulkdens,Lat,Lon,Ortho,Salinity,DomVeg,Core,Ht,B,Sa,Se,Sp,Iva,Lm,Ss,Sl,Ds,Richness,LOI,Site,perOM,OM,percC,PolyEqC,adjustedC,less10,NEAR_FC,BarrDist,MainDist,carbon
101,0.419025323,37.60735725,-75.68432526,0.20785572,36,Sa,Y,NA,30,70,0,0,0,0,0,0,0,1,207,P,0.068338495,6.8338495,2.639977601,1.106217467,0.011062175,,MainCoast_1,5702.075318,34.15259386,0.02863556
109,0.416756978,37.59966471,-75.68796768,0.14493588,36,Sa,Y,NA,25,75,0,0,0,0,0,0,0,1,123,P,0.108021792,10.8021792,4.349351664,1.812622656,0.018126227,,MainCoast_1,5962.43128,174.1841941,0.045018836
119,0.373529525,37.57831672,-75.63192649,0.15902082,40,Sa,Y,NA,0,100,0,0,0,0,0,0,0,1,225,P,0.157457458,15.7457458,6.544897793,2.444712564,0.024447126,,BarrierCoast_1,1196.382779,5512.031574,0.058815009
120,0.318934567,37.57839097,-75.6318929,0.15102781,37,Sa,Y,NA,0,100,0,0,0,0,0,0,0,1,124,P,0.1875,18.75,7.91496875,2.524357131,0.025243571,,BarrierCoast_1,1194.947287,5508.926079,0.059800231
121,0.212270764,37.57844267,-75.6318069,0.14244708,40,Sa,Y,NA,0,100,0,0,0,0,0,0,0,1,115,P,0.243028376,24.3028376,10.51857911,2.232786825,0.022327868,*,BarrierCoast_1,1188.553606,5510.979802,0.051587819
122,0.352057571,37.57843179,-75.63172452,0.14333196,39,Sa,Y,NA,5,85,10,0,0,0,0,0,0,2,122,P,0.170726896,17.0726896,7.146703501,2.516051075,0.025160511,,BarrierCoast_1,1181.179689,5517.303561,0.060105696
123,0.787863497,37.57648964,-75.62890482,0.29505252,80,Sa,Y,NA,80,10,5,0,0,0,0,0,0,2,222,P,0.046692607,4.6692607,1.727485094,1.361022447,0.013610224,,BarrierCoast_1,910.7361536,5846.690482,0.036787401
124,0.864626379,37.57646579,-75.62905041,0.23855589,70,Sa,Y,NA,30,70,0,0,0,0,0,0,0,1,117,P,0.050284541,5.0284541,1.877932019,1.623709561,0.016237096,,BarrierCoast_1,923.5763322,5838.624565,0.043477341
125,0.918628474,37.57646473,-75.62895643,0.30723054,90,Sa,Y,NA,70,30,0,0,0,0,0,0,0,1,226,P,0.030815408,3.0815408,1.067110786,0.980278353,0.009802784,,BarrierCoast_1,915.2740184,5845.014301,0.028307911
126,0.794952078,37.57637251,-75.62909943,0.27755851,75,Sa,Y,NA,0,100,0,0,0,0,0,0,0,1,220,P,0.031563275,3.1563275,1.098046813,0.872894596,0.008728946,,BarrierCoast_1,927.8896754,5842.068952,0.025091291
